"","value"
"10_01:486532",83.3649622841046
"10_02:486533",84.936413946545
"10_03a:486534",88.1701562581283
"10_05:486536",88.0113575781733
"11_02:486538",90.6814944341432
"11_04:486540",89.6332795926988
"11_05:486541",90.7012388906556
"11_06:486542",89.0976024837826
"12_01:486543",85.4995869720764
"12_04:486544",88.1521134336625
"12_05:486545",89.153874393723
"12_06:486546",91.340807960115
"13_01:486547",90.5962727392871
"13_03:486549",91.7804903186261
"13_04:486550",91.3160963893376
"13_05:486551",94.4423258018038
"13_06:486552",95.3186059530625
"14_01:486553",84.2691676180055
"14_02:486554",93.7334031192696
"14_03:486555",94.3270635505074
"14_04:486556",91.2190656899035
"14_06:486558",87.6176875433333
"15_01a:486559",94.716867025943
"15_03:486560",87.1332286455924
"15_04:486561",85.8835071612845
"15_05:486562",88.9224470838262
"15_06:486563",90.9055213457636
"16_02:486564",90.4382598722397
"16_03a:486565",84.7698560935288
"16_04:486566",90.3537956065235
"16_05:486567",93.5048576823851
"17_01:486568",90.1495388726443
"17_02:486569",89.8744284751908
"17_05a:486570",91.7169405088155
"18_01:486571",95.2075033226069
"18_02a:486572",87.4722126162331
"18_03a:486573",90.7886080805244
"18_04:486574",93.6858578816597
"18_05:486575",86.5940533995837
"19_05:486576",95.2288171832879
"20_01:486578",91.8551901889404
"20_02a:486579",88.8371875929813
"20_03:486580",88.6511981018085
"20_04:486581",89.9789400264932
"20_06:486582",100.122493536681
"21_05:486585",91.6678401620467
"22_01:486587",90.7115501243822
"22_02:486588",92.7529616749846
"22_04:486590",90.9404643723294
"22_06:486591",94.5675687371955
"23_01:486592",92.5228168315952
"23_03:486593",89.3469441755842
"24_02a:486594",86.9583018792771
"24_05:486596",90.3846603899771
"25_01a:486597",91.0324390808835
"25_02:486598",86.8500897400949
"25_03:486599",88.325542276964
"25_04:486600",90.8825824795401
"25_06:486601",89.6841129935301
"26_01a:486602",83.7255930933837
"26_02:486603",91.7638569253389
"26_04:486604",92.5795121446157
"26_05:486605",90.6919793217437
"26_06:486606",91.1458461205987
"27_01:486607",92.0598543962155
"27_02:486608",88.4738076637882
"27_04:486609",90.3471084023404
"27_06:486610",92.7962101673675
"28_01:486611",91.5953637864531
"28_02:486612",89.3429125010331
"28_03:486613",85.9172388535426
"28_04:486614",85.4427393022141
"28_05:486615",86.6111366869399
"29_01:486616",95.214903793082
"29_02a:486619",85.4624014816447
"29_03:486620",87.9379623005275
"29_04:486621",90.9580313182567
"29_05:486617",89.3181674590123
"29_06:486618",84.8600082198748
"30_01a:486622",89.1422617739227
"30_02a:486623",91.0109923756626
"30_03:486624",92.0825978832157
"30_05:486625",92.0432989510749
"30_06:486626",85.2228478784436
"31_01:486627",89.2611200775607
"31_02:486628",91.686766755323
"31_03:486629",88.7448950412775
"31_04:486630",92.0035134256685
"31_05:486631",88.0980597732752
"31_06a:486632",90.4580921572449
"32_01:486633",85.6684582092146
"32_02:486634",89.499850008056
"32_03a:486635",91.7769263330353
"32_04:486636",93.3367577366825
"33_01a:486637",90.6361791941928
"33_02:486638",87.9926787226941
"33_05:486639",91.5675020327643
"33_06:486640",81.6181600648516
"34_02:486641",87.7756343864865
"34_03:486642",90.0383167309488
"34_05:486643",92.545573043119
"34_06:486644",86.5182494355063
"35_01:486645",87.3033104610669
"35_02:486646",91.8229930589171
"35_03:486647",90.6955251905986
"35_04:486648",91.4530551959275
"36_01:486649",89.3313386779857
"36_02:486650",87.6747142711407
"36_03:486651",92.853850422776
"36_04:486652",86.7954740408447
"36_06:486654",88.6550495976115
"37_01:486655",89.5005099536755
"37_03:486656",94.54186774131
"37_04:486657",90.1243088774505
"37_05:486659",87.136398876809
"37_06:486660",86.5255282754216
"38_01:486661",94.2934893006804
"38_02:486662",89.8590180225008
"38_03:486663",85.3434975632074
"38_04:486664",86.9392335501565
"38_05:486665",88.3536703895696
"38_06:486666",87.3168614682877
"39_02:486667",90.8379854573674
"39_03:486668",86.41598244621
"39_04:486669",93.3773791928212
"39_05a:486670",89.0244347066432
"39_06:486671",88.1785202431701
"4_04:486501",89.7907619121624
"4_05:486502",96.8620549609903
"40_01:486672",86.4048162177273
"40_03:486673",85.0254569719544
"40_04:486674",93.1952461256297
"40_06:486676",85.7935279552756
"41_01:486677",92.4196961368466
"41_02:486678",87.1283202929215
"41_05:486679",89.7607303177012
"41_06:486680",93.18780033143
"42_01:486681",89.3036313546126
"42_02a:486682",98.4014585655512
"42_03:486683",88.8883940806458
"42_05a:486684",91.9865166984178
"42_06a:486685",88.9007018758276
"43_01:486686",92.3111551097642
"43_02:486687",98.3814619766655
"43_03:486688",94.4150291008818
"43_05:486689",87.1667281150858
"43_06:486690",84.5428366979999
"44_01:486691",87.1476454567578
"44_02:486692",92.2650867314732
"44_03:486693",90.0310061837639
"44_04:486694",91.4087153422502
"44_05:486695",93.1908547114916
"45_01:486696",87.4809936971637
"45_02:486697",94.945494633914
"45_03:486698",95.8258489750093
"45_06:486700",84.2727589999856
"46_02:486701",93.4642265564872
"46_03:486702",92.183158968509
"46_04:486703",90.2335872275418
"46_05:486704",93.0371200408561
"46_06:486705",89.0428887567559
"47_02:486706",96.8635346571083
"47_03:486707",94.052163188499
"47_04:486708",85.4104960575345
"47_05:486709",87.258653988891
"48_01:486710",100.379003130113
"48_02:486711",90.2818435081052
"48_03:486712",88.8970906562239
"48_04:486713",96.329782314843
"48_05:486714",90.8665741717242
"48_06:486715",90.1475060721079
"49_01:486716",89.9289870281603
"49_02:486717",93.3178238402099
"49_03:486718",94.8146477645839
"49_04:486719",90.9989754267255
"49_05a:486720",88.9560026787763
"49_06:486721",88.1707930783207
"5_01:486503",92.020501156525
"5_02:486504",95.0797722499593
"5_03:486505",88.6627815155593
"5_04a:486506",88.325643133628
"5_05:486508",82.7124868364963
"5_06:486509",87.6491906864671
"50_01:486722",94.5705851217766
"50_02:486723",90.4393904937966
"50_03:486724",86.5925864178764
"50_04:486725",86.5789525094258
"50_06:486726",87.684619286105
"51_01:486727",86.5654532571967
"51_03:486728",88.8135484650597
"51_04a:486729",90.7530809734479
"51_05:486730",95.3838616276479
"51_06:486731",89.5304431966508
"52_03:486733",90.7212793994775
"52_06:486735",92.555379085822
"53_01:486736",82.9698933942825
"53_02:486737",88.3507688572621
"53_03:486738",94.9219460187284
"53_04:486739",87.823497358861
"53_06:486740",91.2445281871729
"54_01:486742",92.8960929656903
"54_02:486743",85.2467570748032
"54_04:486744",87.5718114902839
"54_05:486745",90.6061975860233
"55_01:486747",89.546463750711
"55_02:486748",87.7070775356377
"55_04:486749",85.5108005566717
"55_05:486750",89.0631850152604
"55_06:486751",93.3018633747477
"56_01:486752",92.3723287392229
"56_03:486753",96.6864623026509
"56_04:486754",86.9886567975889
"56_05:486755",88.0046728208596
"56_06:486756",92.0960359668054
"57_01:486757",93.644316675004
"57_03a:486758",86.6475863298302
"57_04:486759",92.7663079410206
"57_05:486760",92.0651940239509
"57_06:486761",90.1803315120054
"58_01:486762",87.6464898183138
"58_03:486763",91.7858500936785
"58_04:486764",91.4703660003418
"58_05:486765",91.3466306499228
"58_06a:486766",85.4481698988363
"59_01:486767",88.1905951131395
"59_03:486768",89.0666306373329
"59_04:486769",87.2535137330944
"59_05:486770",87.9960091511862
"59_06:486771",88.0830439591111
"6_01:486510",92.7849613343727
"6_03:486512",81.6195090144401
"6_04:486513",95.1998202638685
"6_05a:486514",93.1895710870721
"60_01:486772",84.1903450738528
"60_02:486773",94.4940501410343
"60_04:486774",88.4598506972881
"60_05:486775",92.9065421010037
"60_06:486776",89.6687869300852
"61_01:486777",87.398516515232
"61_02a:486778",90.0969174549922
"7_03:486517",91.9695277681571
"7_04:486518",87.973366232066
"7_06:486520",92.2231610904054
"8_01:486521",89.4838492606477
"8_02:486522",84.7635883372856
"8_03:486523",87.0446136106753
"8_04:486524",92.7057784258721
"8_05:486525",91.5482678342258
"8_06:486526",85.8910560806072
"9_01:486527",89.7788183447903
"9_04:486529",88.5113703447488
"9_05:486530",92.1730582663498
"9_06:486531",89.8390193539176
"B01:486779",92.5507633259025
"B07:486780",89.8645150878834
"B12:486781",84.7931366929505
"B25:486782",87.6042201137868
"B26:486783",88.5707701508859
"B28:486784",87.568839111071
"B30:486785",87.9239842132685
"B46:486786",88.9491359051615
"B50:486787",87.4423452609415
"D93:486788",86.1743204234096
